## ① 読みの食い違い（雑音の型を除く）: 行 | 語 | 読み→音 | 位置 | 語の GOP
c401-1 | 1.42 | 0.48 | 無印 | 年｜７月
c401-2 | 2.14 | 0.38 | 無印 | は｜エヌ
c401-2 | 3.42 | 0.14 | 無印 | サンエー｜サンエー
c402-1 | 2.86 | 0.38 | 無印 | から｜姿
c402-2 | 1.84 | 0.16 | 無印 | 年｜５月
c403-2 | 0.54 | 0.26 | 無印 | の｜貨物
c404-1 | 2.06 | 0.20 | 無印 | で｜こう
c406-1 | 3.44 | 0.34 | 無印 | は｜立ち会っ
c406-2 | 2.88 | 0.22 | 無印 | が｜そう
c407-1 | 2.26 | 0.22 | 無印 | 年｜３月
c407-1 | 3.00 | 0.12 | 無印 | 三日｜三日
c407-1 | 4.44 | 0.40 | 無印 | あの｜エヌ
c408-2 | 1.52 | 0.28 | 無印 | の｜ちょうど
c409-2 | 0.52 | 0.22 | 無印 | は｜ご
c410-1 | 3.30 | 0.30 | 無印 | が｜航空
c410-2 | 1.60 | 0.20 | 無印 | は｜すすめる
c411-1 | 2.56 | 0.42 | 無印 | 年｜６月
c411-1 | 5.56 | 0.48 | 無印 | 航空｜九
c411-2 | 3.04 | 0.18 | 無印 | と｜バッファロー
c412-1 | 5.08 | 0.30 | 無印 | て｜六
c412-2 | 1.18 | 0.22 | 無印 | で｜午後
c412-3 | 3.46 | 0.32 | 無印 | も｜飛ん
c413-3 | 1.72 | 0.16 | 無印 | 約｜じゅう
c414-1 | 4.44 | 0.32 | 無印 | は｜少し
c414-2 | 2.30 | 0.22 | 無印 | は｜その
c414-2 | 3.74 | 0.20 | 無印 | と｜判断
c414-3 | 2.94 | 0.22 | 無印 | 約｜ごじゅう
c414-3 | 5.90 | 0.14 | 無印 | 要っ｜要っ
c415-1 | 2.38 | 0.30 | 無印 | さ｜約
c416-1 | 2.90 | 0.26 | 無印 | が｜空中
c417-2 | 0.74 | 0.30 | 無印 | は｜左
c418-1 | 3.92 | 0.24 | 無印 | て｜機首
c420-1 | 3.82 | 0.28 | 無印 | と｜乗客
c421-2 | 1.94 | 0.28 | 無印 | は｜入っ
c422-3 | 2.06 | 0.18 | 無印 | する｜５月
c425-1 | 0.84 | 0.46 | 無印 | は｜し
c425-1 | 4.36 | 0.32 | 無印 | を｜航空
c425-2 | 2.96 | 0.30 | 無印 | も｜通気
c426-1 | 4.42 | 0.28 | 無印 | に｜空気
c426-2 | 3.24 | 0.22 | 無印 | と｜メーカー
c501-1 | 3.42 | 0.32 | 無印 | で｜りょ
c504-1 | 4.28 | 0.12 | 無印 | を｜準備
c505-1 | 2.10 | 0.44 | 無印 | で｜安全
c505-1 | 3.58 | 0.38 | 無印 | 受けもつ｜受けもつ
c505-1 | 5.38 | 0.36 | 無印 | そして｜副
c506-1 | 2.30 | 0.22 | 無印 | の｜６月
c506-2 | 1.00 | 0.20 | 無印 | 長官｜シェイファー
c506-2 | 3.28 | 0.20 | 無印 | 社長｜マク
c507-1 | 2.18 | 0.16 | 無印 | 局長｜バス
c509-2 | 3.56 | 0.24 | 無印 | じかに｜考え直す
c509-3 | 2.68 | 0.28 | 無印 | と｜局長
c510-1 | 2.06 | 0.26 | 無印 | で｜こう
c510-2 | 0.80 | 0.30 | 無印 | は｜およそ
c510-2 | 1.48 | 0.20 | 無印 | およそ｜さんじゅ
c511-3 | 3.16 | 0.12 | 無印 | なかっ｜なかっ
c512-1 | 4.34 | 0.24 | 無印 | と｜議員
c513-1 | 1.54 | 0.38 | 無印 | は｜分から
c519-2 | 4.30 | 0.24 | 無印 | に｜済ませる
c520-1 | 1.94 | 0.38 | 無印 | は｜新しい
c520-1 | 4.32 | 0.16 | 無印 | の｜さん
c520-3 | 3.16 | 0.36 | 無印 | は｜翌日
c520-3 | 6.58 | 0.46 | 無印 | なに｜触れ
c521-1 | 4.24 | 0.12 | 無印 | いっき｜いっき
c521-3 | 0.68 | 0.26 | 無印 | は｜自分
c521-3 | 4.22 | 0.24 | 無印 | と｜上院
c522-2 | 4.16 | 0.20 | 無印 | と｜結論づけ
c602-1 | 3.10 | 0.42 | 無印 | た｜あの
c603-2 | 2.50 | 0.24 | 無印 | 約｜ひゃく
c603-3 | 2.48 | 0.40 | 無印 | か｜約
c603-3 | 3.24 | 0.16 | 無印 | 約｜ろくじゅう
